connection name,from node,to node
0_,LIPb_0,LIPb_0
1_,LIPb_0,LIPb_0
2_,LIPb_0,LIP_0_0
3_,LIPb_0,LIP_1_0
4_,LIPb_0,LIP_0_0
5_,LIPb_0,LIP_1_0
6_,LIPb_0,LIPI_0
7_,LIPb_0,LIPI_0
8_,LIPI_0,LIPb_0
9_,LIPI_0,LIP_0_0
10_,LIPI_0,LIP_1_0
11_,LIPI_0,LIPI_0
12_,GPi_0_0,Th_0_0
13_,GPi_1_0,Th_1_0
14_,STNE_0_0,GPe_0_0
15_,STNE_0_0,GPe_0_0
16_,STNE_0_0,GPi_0_0
17_,STNE_1_0,GPe_1_0
18_,STNE_1_0,GPe_1_0
19_,STNE_1_0,GPi_1_0
20_,GPe_0_0,GPe_0_0
21_,GPe_0_0,STNE_0_0
22_,GPe_0_0,GPi_0_0
23_arkipallidal,GPe_0_0,D1STR_0_0
24_arkipallidal,GPe_0_0,D1STR_1_0
25_arkipallidal,GPe_0_0,D2STR_0_0
26_arkipallidal,GPe_0_0,D2STR_1_0
27_,GPe_1_0,GPe_1_0
28_,GPe_1_0,STNE_1_0
29_,GPe_1_0,GPi_1_0
30_arkipallidal,GPe_1_0,D1STR_0_0
31_arkipallidal,GPe_1_0,D1STR_1_0
32_arkipallidal,GPe_1_0,D2STR_0_0
33_arkipallidal,GPe_1_0,D2STR_1_0
34_,D1STR_0_0,D1STR_0_0
35_direct,D1STR_0_0,GPi_0_0
36_,D1STR_1_0,D1STR_1_0
37_direct,D1STR_1_0,GPi_1_0
38_,D2STR_0_0,D2STR_0_0
39_indirect,D2STR_0_0,GPe_0_0
40_,D2STR_1_0,D2STR_1_0
41_indirect,D2STR_1_0,GPe_1_0
42_,LIP_0_0,Th_0_0
43_cxd,LIP_0_0,D1STR_0_0
44_cxi,LIP_0_0,D2STR_0_0
45_,LIP_0_0,LIPb_0
46_,LIP_0_0,LIPb_0
47_,LIP_0_0,LIP_0_0
48_,LIP_0_0,LIP_0_0
49_,LIP_0_0,LIP_1_0
50_,LIP_0_0,LIP_1_0
51_,LIP_0_0,LIPI_0
52_,LIP_0_0,LIPI_0
53_,LIP_1_0,Th_1_0
54_cxd,LIP_1_0,D1STR_1_0
55_cxi,LIP_1_0,D2STR_1_0
56_,LIP_1_0,LIPb_0
57_,LIP_1_0,LIPb_0
58_,LIP_1_0,LIP_1_0
59_,LIP_1_0,LIP_1_0
60_,LIP_1_0,LIP_0_0
61_,LIP_1_0,LIP_0_0
62_,LIP_1_0,LIPI_0
63_,LIP_1_0,LIPI_0
64_,Th_0_0,LIP_0_0
65_,Th_1_0,LIP_1_0
